,(16_exp/8_recip),((2_degree*4_recip)-18),((4_relu-2_relu)-6_rbfFeature),((2_degree/4)-(8_recip+18)),((17_square*2_tanh)-(8_recip+18)),((17_square-6)/(2_degree-7)),((10_relu+0)/7),(id_sin_exp/(9_zscore-13)),((4_relu*6_zscore)+(9_zscore-13)),((4_relu-2_relu)+id_sin),(17_square_sigmoid+1),((3_relu*12)+(9_recip-8)),((4_relu-2_relu)+(5_rbfFeature+14_tanh)),((4_relu-2_relu)*16)
0,81.1938,56.295776,0.27561027,56.275734,-1.0100368,-0.014432324,0.44792286,-9.173902,-12.377419,0.8414709999999999,1.5025012,-31.709858,-0.27330065,0.0
1,97.157875,62.504486,-2.3136377,62.48715600000001,0.003527362,-0.011731269,0.33272487,85.402054,-14.351807999999998,-1.0907025,1.5052137,-33.81627,-1.8343667,-1.041816
2,94.93961,60.20912,-2.8830955,60.19121,-0.0013864692,-0.013350088,0.41477227,-7.884408500000001,55.07831,-2.85888,1.5041311000000002,55.79583,-3.144479,-1.5927118999999998
3,65.61317,59.45788,-1.7245023000000002,59.43316700000001,-0.01153461,-0.013776647,0.32641616,-0.96256435,38.249542,-2.7568026000000003,1.5032941999999998,22.512558,-1.6830322,-0.966568
4,29.01359,57.295776,-0.24314314,57.240303,-0.0402046,-0.015631318,0.052236333,-0.5701350000000001,22.46138,-0.9589243,1.5038174,-9.455545,-0.23276797,0.0
5,46.88434,61.488148,-2.7146711,61.452885,-0.019202126,-0.014840982,0.11399211,-1.0109605,16.603395000000006,-3.2794156,1.5040156999999998,-21.420763,-3.0522847,-1.508493
6,26.5558,57.295776,-0.31106463,57.231045,-0.045250453,-0.015180396,0.16459331,-2.980699,-6.219663,0.6569866,0.5048701,-6.3345785,0.21338215,0.0
7,36.798904,56.295776,-0.24097413,56.24742,-1.0433058000000002,-0.005820001,2.22366,-4.273319,-8.858955,0.98935825,1.5012627,-11.181864,-0.25850043,0.0
8,109.96443,70.028175,-4.302366,70.013176,-0.0013537128,-0.010384875,0.7151116999999999,71.26549,-14.514107,-3.5878816,1.5034101,-43.14639,-4.0123878,-2.000292
9,38.8002,62.00501600000001,-6.300279,61.95985400000001,-0.03325325,-0.014285076,0.03988581,-0.9615869,131.36343,-6.544021,1.5029776,-10.33345,-5.94404,-3.365754
10,145.63193,57.29578000000001,-0.09623559,57.283924,0.0007746313,-0.015704045,0.5716788,0.28483220000000004,27.258635,-0.9999902,1.5031571,-33.38094,0.19898854,0.0
11,39.0292,56.295776,0.13119023,56.251293,-1.0249798,-0.01554057,0.07979067,-1.3817725,-9.07308,-0.53657293,0.5048759,-8.530052,0.21608394,0.0
12,18.019936,61.703144,-5.1768794,61.608448,-0.08667024,-0.015904235,0.032510217,-1.6366687,113.241615,-4.579833,1.5020065,-0.2767768,-5.2446712999999985,-2.67198
13,38.000694,69.51788,-8.851385,69.47442,-1.0243307,-0.009875157,0.18910572,-3.5563576,-4.251417,-8.009393,1.5047808,-15.783423999999998,-9.237654,-4.513986
14,14.795111,58.541336,-2.290981,58.425198,-0.100631446,-0.01619659,0.018197183,-1.9602679,269.12802,-1.3497121,1.5038753,-6.629503,-1.8870828,-1.082554
15,115.07595,70.61972,-3.687686,70.60436,-1.0072693,-0.011427333,1.0872643999999998,1.6234498,-12.458385,-4.2879033,1.5020221,-31.056267,-3.7084942,-2.277832
16,207.90475,73.27231,-24.291409,73.264175,-0.99010426,-0.007684081999999998,1.200309,-0.09764139,67.74687,-24.961397,1.5045053999999998,1352.251,-22.715912,-12.587063
17,29.583502000000006,59.6831,-1.2075142,59.624397,-0.04694928,-0.015557047,0.10880227,-0.51637065,-9.217777,-1.7509873,1.5029391,4.637628599999998,-1.0815457,-0.552002
18,34.13941,58.20524,-0.9713287,58.15440400000001,-0.041109722,-0.015161661000000003,0.04768355,-1.4735683000000002,84.0252,-0.8501228000000001,1.50243,-13.608592000000002,-1.1011451,-0.551182
19,198.35036,66.579636,-6.723014,66.570984,-0.99764115,-0.008772394000000001,0.71104944,-9.258726,-11.763023,-6.0870547,0.50275356,-80.73523,-7.1979422999999985,-3.7833037
20,98.97906,57.29578000000001,0.30551067,57.279484,-0.004022805999999999,-0.014777565,0.39626205,4.208508,4.8229875999999985,0.8366556,1.5030687,-19.587236,0.23367745,0.0
21,287.6475200000001,71.57465,-3.8285975,71.56909,-0.99672604,-0.0110863,2.0027077,1.8640172,-12.350201,-4.0088515,1.5022097,-144.6347,-3.7910736,-1.8817
22,15.105287,68.385284,-6.257102,68.27188000000001,-0.10374439,-0.013354529,0.12087158,-0.39410093,-2.2764115,-6.8462205,0.5024142,38.300888,-6.2796392,-3.2293382
23,123.785675,62.661976,-1.0036888000000002,62.648262,-1.0020124,-0.015853565,1.7988691000000003,-3.1150327,-9.243524,-1.9055784,1.5029244,-52.24544,-0.992968,-0.528929
24,239.69894,56.295776,-0.31617856,56.28826,-0.99547225,-0.01406791,1.239455,-1.1500909,-7.106893,-0.13235176,1.5030111000000002,-126.07365,0.0003489335,0.0
25,123.8045,68.449425,-7.2058606,68.435745,-1.002631,-0.008767732,1.1744656999999998,-1.0574722,-16.829588,-6.2374415,1.5027629999999998,96.15946,-6.5137644,-3.689784
26,122.50947,61.789562,-4.145558,61.775543000000006,-0.00025181752000000003,-0.012474527,0.8506756999999999,3.5944386,27.53801,-3.0436240000000003,1.5034415,1.8381577,-3.9237697,-2.163076
27,519.9873,82.41591,-31.151554,82.41255,-0.9895672,-0.007437399,1.2849518,-2.6749527000000004,45.723038,-30.729094,1.5034468,352.3964,-30.632174,-17.250912
28,60.560825,57.29578000000001,-0.07277627,57.26735,-0.0144805135,-0.014479859,0.25859046,-1.3837777,18.672094,-0.6636339,1.5034873,-3.0382442000000003,0.15278117,0.0
