,(((PAY_AMT6_mmnorm+PAY_3_mmnorm)*(EDUCATION_sigmoid+PAY_0_sin))/PAY_AMT5_sin_radian_adde),(((AGE_relu*PAY_0_adde)+AGE_adde)/((AGE_relu*PAY_0_adde)-MARRIAGE_sin)),((PAY_4_square_mmnorm+LIMIT_BAL)/(BILL_AMT5_relu+BILL_AMT1)_adde),((PAY_0_sin_mmnorm+LIMIT_BAL_radian_radian)/((PAY_AMT4_mmnorm*PAY_0_square)+AGE_relu)),(((PAY_0_radian*LIMIT_BAL)+PAY_0_adde_mmnorm)/(BILL_AMT5_relu+BILL_AMT1)_adde),((BILL_AMT1_mmnorm_sigmoid+EDUCATION_sigmoid)/((EDUCATION/AGE)+PAY_5_adde)),((((LIMIT_BAL/SEX)/AGE_relu)*EDUCATION_tanh)/(PAY_0_sin_mmnorm+BILL_AMT2)),(((PAY_AMT6_mmnorm+PAY_AMT5_square)+SEX_adde)/((EDUCATION/AGE)+PAY_5_adde)),((((LIMIT_BAL/SEX)/AGE_relu)*EDUCATION_tanh)*((PAY_AMT5_sin+MARRIAGE_sin)+(PAY_AMT2_relu+PAY_0_sin))),(((PAY_0_relu+PAY_AMT6_mmnorm)+SEX_radian)*((PAY_3_mmnorm+AGE)-(PAY_4_square/SEX))),((PAY_4_square_mmnorm+PAY_3_mmnorm_sigmoid)*((PAY_AMT3_sigmoid*PAY_0_tanh)+(PAY_0_square/SEX_adde))),((SEX_adde_ln*LIMIT_BAL_radian_mmnorm)-(PAY_AMT6_mmnorm+PAY_3_mmnorm)_relu),(((PAY_3_mmnorm*PAY_4_square)*BILL_AMT5)-(PAY_AMT4_mmnorm_mmnorm+PAY_AMT1)),(((PAY_0_mmnorm/AGE)+PAY_AMT6_mmnorm)-PAY_0_tanh),((SEX_adde_ln*LIMIT_BAL_radian_mmnorm)+((PAY_AMT5_sin+PAY_AMT3)+EDUCATION)),((PAY_4_square_mmnorm+PAY_3_mmnorm_sigmoid)+(PAY_0_adde_ln+(PAY_0_relu+PAY_AMT6_mmnorm))),(PAY_3_mmnorm_sigmoid_exp+(PAY_0_adde_ln+(PAY_0_relu+PAY_AMT6_mmnorm)))
0,0.07103508,1.4127964,1.344589,2.9663619999999997,8.674768000000001e-07,0.5383861999999999,0.063252956,355616.06,57853640.0,0.6838121,0.0,0.32862020000000003,-8295.005,0.010033106,4004.3594,1.553617,2.7367482000000005
1,0.0,1.6305581,8.527215,0.06339714,-0.1487424,0.30496999999999996,-0.28366843,6931.41,-21.401913,1.6929693,-0.2860437,0.0,0.0,0.7636350000000001,2830.7893,1.061733,2.1900459999999997
2,0.0014942477,1.6676428,28.856394,0.5460719,-0.50358135,0.77440435,28555.385,1081100300.0,79628680.0,0.5641071,-0.25863242,-0.031634584,-0.0020933978,0.7677873000000001,2201.071,1.0689256,2.2343702000000003
3,0.34632674,1.2272298000000001,1.0461955,0.48708270000000004,0.03652426,0.25443520000000003,0.019402966,443216.1,1225409.6,97.820786,1.4605464,-0.35626823,175472.0,-0.9533088,1602.3455,4.360604,5.417976400000001
4,0.11718900000000002,1.299792,7.4029964999999995,2.4462,0.12921488,0.26180282,0.35103490000000004,842515.1,24208028.0,34.926285,0.56662345,0.25763315,0.0,-0.74898756,2002.3915,2.8668787,4.0500097
5,0.07207099,1.4158221000000002,0.8851810999999999,1.4379543,1.2645445e-06,0.3088433,0.02410889,1013661.06,10459330.0,1.1855662,0.0,0.06820051,-4700.0,0.01101724,12908.278,1.5541844,2.7373157000000004
6,0.0029223354,1.6769538,13.92494,2.3454278,-0.24302909,0.49598919999999996,0.6275331000000001,46366.445,28809790.0,0.54217035,-0.2708772,0.13394855,-12957.001,0.7686805999999999,5013.2964,1.094399,2.2775302
7,0.0029306812,1.6483077000000002,1.1466336000000001,1.2364464,-0.020011768,0.5080295,0.061775327000000005,1442828.0,9774449.0,0.78999406,-0.2708772,0.04467179,-2500.0037,0.76808,3783.1785,1.0949419,2.278073
8,0.0652153,1.4351556,0.54332,0.29929718,5.4332004000000005e-06,0.49529929999999994,0.02439768,357401.4,1315493.0,0.8078063,0.0,-0.18051562,-3000.0032,0.010571995,3002.1882,1.5513151,2.7344463
9,-0.0010616044,2.5883532000000002,136.27868999999998,1.9465865000000002,-4.757023,0.78141314,3.4795976000000004,3182580.8,2062722.8,1.3061753999999999,-0.06340747,0.35945654,-802.30133,0.9658113000000002,659.27814,0.21627769,1.3613138999999999
