,(word_freq_hp_mmnorm+capital_run_length_total_recip),(capital_run_length_average_recip-word_freq_remove),(char_freq_%21_negative-word_freq_money),(capital_run_length_total_recip_negative+char_freq_%24),((char_freq_%21_relu+char_freq_%24_negative)+char_freq_%21_relu_negative),((word_freq_hp_sin+char_freq_%24_negative)+(word_freq_our_negative+word_freq_1999)),((capital_run_length_average_relu*word_freq_you_tanh)+word_freq_free),(char_freq_%21_relu_negative+word_freq_hp),((capital_run_length_average_recip-word_freq_remove)+word_freq_free_square_radian),((word_freq_business_negative-char_freq_%21)+word_freq_hpl),(char_freq_%21_negative_abs-(word_freq_re_mmnorm+word_freq_857)),((capital_run_length_average_recip-word_freq_remove)-char_freq_%23),((word_freq_hp_mmnorm+capital_run_length_total_recip)-(word_freq_make_sin-word_freq_labs)),(char_freq_%21_relu_negative/capital_run_length_total_recip_negative),(char_freq_%21_square+word_freq_remove)_cos,(capital_run_length_average_recip-word_freq_remove)_zscore
0,0.0035971224,0.2662407,-0.778,-0.0035971224,0.0,-0.32,3.9210026,-0.778,0.26802790000000004,-0.778,0.778,0.2662407,0.0035971224,216.28400000000002,0.82234055,-0.17920446
1,0.00097276265,-0.01445835,-0.802,0.17902724,-0.18,-0.25,5.2441059999999995,-0.37200000000000005,-0.014116266,-0.442,0.37200000000000005,-0.06245835,-0.20748714,382.41602,0.9399255999999999,-0.7325958
2,0.00044267374000000006,-0.088177375,-0.336,0.18355733,-0.184,-1.4140000000000001,8.667057000000002,-0.276,-0.088114545,-0.336,0.27319887,-0.09817737,-0.059521332,623.484,0.96478385,-0.87793106
3,0.005235602,-0.027274517,-0.13699999999999998,-0.005235602,0.0,-0.63,3.8347873999999997,-0.13699999999999998,-0.025597256000000002,-0.13699999999999998,0.13699999999999998,-0.027274517,0.005235602,26.166998,0.9464405,-0.7578625
4,0.005235602,-0.027274517,-0.135,-0.005235602,0.0,-0.63,3.8347873999999997,-0.135,-0.025597256000000002,-0.135,0.135,-0.027274517,0.005235602,25.785,0.94661605,-0.7578625
5,0.018518519,0.33333334,-0.0,-0.018518519,0.0,-1.85,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.018518519,0.0,1.0,-0.04693291
6,0.008928572,0.59844404,-0.16399999999999998,0.045071427000000004,-0.054000005,-1.974,2.6294873,-0.16399999999999998,0.614529,-0.16399999999999998,0.16399999999999998,0.59844404,0.008928572,18.368,0.9996383,0.4757264
7,0.020408163,0.40816328,-0.0,-0.020408163,0.0,-1.88,0.0,0.0,0.40816328,0.0,0.0,0.40816328,0.020408163,0.0,1.0,0.10059249
8,0.0007955449400000001,-0.19737275,-0.331,0.20220445,-0.203,-0.813,8.2100935,-0.18100000000000002,-0.19737275,-0.18100000000000002,0.18100000000000002,-0.21937275,-0.14864258,227.517,0.94514406,-1.0932071
9,0.0013351135000000001,0.19836903,-0.244,0.07966488599999999,-0.081,-0.271,1.6106528,-0.244,0.19836903,-0.244,0.244,0.19836903,-0.05862889,182.75599999999997,0.9049492,-0.31301177
10,0.04761905,-0.19780488,-0.462,-0.04761905,0.0,0.0,1.3107883999999999,-0.462,-0.19780488,-0.462,0.462,-0.19780488,0.04761905,9.702,0.38697827,-1.0940590000000001
11,0.0054347827,0.5545051999999999,-0.6629999999999999,-0.0054347827,0.0,-0.38,1.0205525,-0.6629999999999999,0.5545051999999999,-0.6629999999999999,0.6629999999999999,0.5545051999999999,0.0054347827,121.992,0.7715203,0.38910209999999995
12,0.0038314175,0.26824033,-0.7859999999999999,-0.0038314175,0.0,-0.34,3.955653,-0.7859999999999999,0.27025792,-0.7859999999999999,0.7859999999999999,0.26824033,0.0038314175,205.14601000000002,0.81515706,-0.1752622
