,oz1_sin_exp,oz2_tanh_exp,oz5_rbfFeature_exp,oz4_sin_exp,oz17_tanh_exp,oz25_degree_degree,oz2_tanh_degree,oz4_sin_degree,oz1_sin_degree,oz5_sin_degree,oz17_rbfFeature_degree,oz19_sin_degree,(oz2_degree+oz4_sin),(oz1_degree+oz16_square),(oz14_relu+oz1),(oz17_rbfFeature+oz12),(oz1_radian+oz22),(oz1_tanh+oz25),(oz22_relu+oz24),(oz4_sin+oz23),(oz15_radian+oz7),(oz3_radian+oz10),(oz2_relu+oz1_square),(oz21_degree+oz24_zscore),(oz12_radian+oz5),(oz13_tanh+oz17_tanh),(oz9_square+oz12),(oz16_square+oz9_square),(oz1_sin+oz10),(oz1_degree+oz19),(oz14_relu+oz4),(oz22_relu+oz22),(oz2_relu+oz2),oz2_tanh_adde,oz20_rbfFeature_adde,oz21_degree_adde,oz22_relu_adde,oz16_square_adde,oz1_relu_adde,oz4_sin_adde,oz7_rbfFeature_radian,oz20_square_radian,oz19_sin_radian,oz3_radian_radian,oz4_sin_radian,oz1_tanh_radian,oz1_sin_radian,oz2_relu_recip,oz3_radian_recip,oz1_square_recip,oz3_zscore_recip,oz2_tanh_recip,oz1_tanh_recip,oz20_square_recip,oz19_rbfFeature_zscore,oz20_radian_zscore,oz2_degree_zscore,oz21_degree_zscore,oz22_relu_zscore,oz9_sin_zscore,oz1_tanh_zscore,oz2_degree_mmnorm,oz15_radian_mmnorm,oz20_square_mmnorm,oz1_degree_mmnorm,oz20_radian_mmnorm,oz17_tanh_mmnorm,oz2_relu_mmnorm,oz26
0,0.36832017,0.47060704,0.96399736,0.4340663,1.9785717,5653.5776,-43.18565,-47.816654,-57.227173,-12.555545,-2.1391354,-56.206364,-57.072662,-91.20543,-1.6197366,-1.3368059,-1.0259546,0.79759246,-0.26463246,-0.9116881,-1.3558568,0.73144716,2.6235466,94.09172,-0.2436085,0.44761717,-0.5580489,2.3400567,-0.23927373,-94.17954,-0.98733014,-0.99768484,-0.98154014,1.9645499,2.878048,97.07477,2.7182817,4.3169165,2.7182817,1.8837237,-0.00489792,0.006132812,-0.017121438,-0.00049011956,-0.014565786,-0.01613707,-0.017432395,-0.0,-35.610275,0.38116342,-0.6212057,-1.3267318,-1.0815651,2.8458877,-1.1419371,0.5930733,-0.9820313,1.6476555,-0.7768244,1.0176275,-1.4020357,0.21410364,0.54728115,0.11728804,0.16412741,0.671138,0.86396354,0.0,0.03812176
1,0.4004705,0.4211673,0.8277594,0.48619217,0.53011197,2445.443,-49.545097,-41.318924,-52.432236,3.3096936,16.05487,-42.416393,-75.8806,-64.521996,-1.1557935,1.0992227,1.3546044,-0.074739635,1.8726193,-2.3221977,1.2471124,-0.32584074,1.3358587,-17.438454,0.072091684,-0.21659386,0.99506426,1.8761517,-1.2305105,-67.05562,-0.8054627,2.7495534,-1.3117799,1.8535566,2.8434234,-15.218265,4.0930586,4.418381,2.7182817,1.9971304,-0.003065874,0.045943953,-0.012920774,-0.00018230655,-0.012586464,-0.01430584,-0.015971772,-0.0,-95.735954,0.7485822,-1.670072,-1.1564369,-1.2200117,0.37988228,1.4288018,-1.6232774,-1.3124362,-0.31320846,1.6957389,-0.5469514,-1.2421545,0.11759293,0.056524426,0.8786643,0.26130587,0.031023413,0.16362369,0.0,-0.45747167
2,0.72842085,0.44780037,0.78015536,2.7182448,2.3396883,-2978.6885,-46.031868,57.294994,-18.155668,-39.217728,-0.5090937,57.29573,-62.49237,-17.725721,1.230247,-1.006891,-0.11987842,-1.2190667,-0.2188666,0.5121623,-0.36294675,-1.4317199,0.103963785,64.95557,-0.77130663,1.6061879,-0.42635173,1.320048,-1.7748909,-16.90458,3.1182485,-0.11425088,-1.1081507,1.9148741,2.9875138,67.89283,2.7182817,3.4666758,2.7182817,3.7182682,0.0019988888,0.0004109147,0.01745328,0.00045893047,0.017453054,-0.0054403003,-0.005530533,-0.0,38.030365,9.618734,0.66342306,-1.244698,-3.2081487,42.474247,1.1549244,-0.15351628,-1.1087052,1.1380796,-0.7768244,0.9203917,-0.46812037,0.17710242,0.009298295,0.007858453,0.43586314,0.45551196,0.9531078,0.0,1.4232013
3,2.715949,2.3854315,0.9554749,2.6902966,0.47136745,-3356.1511,49.8118,56.702847,57.246586,56.215958,9.561452,57.284016,77.22366,92.400345,1.6122364,1.8719544,1.318725,-0.098852396,1.2541038,0.93035245,-1.1282312,-0.15218355,3.9298406,92.63445,1.406103,-0.23197556,1.7087634,0.029699659,0.83250463,93.92487,1.7147855,2.5811722,2.6610692,3.5876617,2.7364304,95.38924,4.0088677,2.7442937,4.3305182,3.7079332,-0.004696185,0.042386007,0.01744971,0.00025225666,0.017272675,0.016117938,0.017438307,1.3305346,69.18863,0.38471806,1.2069654,1.1502451,1.082849,0.41177016,1.0708892,1.5591569,1.3312002,1.6182226,1.5443205,0.08116859,1.4140898,0.8897944,0.87159824,0.81061965,0.8411033,0.95015705,0.10116926,0.77916783,1.4611992
4,0.47531632,0.39583752,1.00439,1.6615368,1.2634411,-558.56976,-53.098938,29.09153,-42.615154,57.205902,0.2746129,-55.18243,-93.16315,-129.0283,-1.6352086,0.38850492,1.0358515,-1.1503601,2.5178518,-1.193484,0.39918557,-0.6881773,5.3033147,-2.630445,1.5214752,0.65807825,2.1480596,4.6820755,-1.409294,-133.24438,1.2002469,2.152089,-1.6348655,1.7915304,2.6012142,-1.354692,3.7943263,5.6360097,2.7182817,3.2260246,-0.0034117757,0.0037015926,-0.01680953,-0.00039545738,0.008861787,-0.017107893,-0.012981319,-0.0,-44.134445,0.18856132,-0.76990616,-1.079038,-1.0201895,4.7150764,0.8391122,-0.46075803,-1.6356835,-0.07112238,1.1584631,-1.3029377,-1.4867965,0.023172975,0.86148256,0.07079169,0.021032065,0.36677605,0.6254536,0.0,0.5364494
5,0.37540135,0.4043048,0.82262355,1.0999514,2.3857884,4676.866,-51.88627,5.4583397,-56.13608,57.20223,-13.192526,-14.372024,-85.98757,-78.446236,-1.3692565,-1.1392636,1.183008,0.54613245,-0.123912096,-0.8719713,-0.9728182,-0.5364688,1.8748634,68.25641,1.6120825,1.0883098,-0.7906209,0.12476659,-1.5118003,-78.70616,0.0954107,2.413812,-1.502429,1.8126955,2.795189,72.306175,3.9251876,2.7246587,2.7182817,2.8135478,0.0021132836,0.007919733,-0.004377969,-7.728328e-05,0.0016627054,-0.015333112,-0.017100029,-0.0,-225.8353,0.5333722,-3.939598,-1.1042571,-1.1382746,2.2037725,0.108102344,-0.6739596,-1.5031809,1.2151456,1.39382,-0.45294484,-1.3318437,0.061876774,0.69428164,0.1514624,0.2165935,0.30520028,0.9634833,0.0,0.09617613
6,2.4413943,2.1136923,0.7553469,0.71069443,2.358714,-2432.1394,42.88224,-19.567234,51.14045,26.701994,6.924036,26.023314,55.20047,64.63909,1.1030114,0.56869227,-1.7061306,0.06070602,-0.18035011,0.8533242,-0.04354532,-0.019106077,2.1860247,-94.95444,0.49262354,0.16781056,0.8278607,1.8212152,0.86533415,63.669357,-0.34852588,-1.7253819,1.938781,3.4667182,2.9169173,-92.05571,2.7182817,4.159481,3.821293,2.376769,0.00442088,0.02010941,0.007927155,0.00014187796,-0.005960521,0.013990177,0.015578272,0.9693905,123.016235,0.8219398,2.1459646,1.3361189,1.247539,0.86791676,-0.07066544,-1.0739356,0.9698756,-1.654946,-0.7768244,0.77555996,1.2283189,0.7842521,0.52922636,0.3845863,0.73443997,0.18968138,0.9574143,0.56768,-1.6586562
7,0.40995735,0.39544106,1.1377263,2.6164742,2.1952229,2700.6145,-53.156357,55.10866,-51.090767,10.828146,7.081074,56.72385,-93.11861,-114.823425,-2.0405006,-0.08282196,-0.5827328,-0.1441257,-0.049847405,-0.43211722,0.9418648,0.28492132,4.163643,-74.6182,0.18652773,0.623129,-0.15909511,2.135957,-0.5831777,-115.19986,1.2936043,-0.5471193,-1.6420134,1.7905283,2.9872637,-71.850044,2.7182817,4.806924,2.7182817,3.6801095,-0.0036018617,0.015475182,0.017279074,-0.00041195334,0.01678706,-0.016873494,-0.015563139,-0.0,-42.367157,0.2401743,-0.7390766,-1.0778725,-1.0343615,1.1278247,1.2910933,0.9420988,-1.6428351,-1.3021141,-0.7768244,0.28932828,-1.4663316,0.02108404,0.18992469,0.2959581,0.07599327,0.77194166,0.91921705,0.0,0.64936453
8,1.8573421,2.248471,0.86353886,1.9745276,0.63329524,-3942.895,46.423923,38.97999,35.474476,7.9269395,10.78985,-16.618681,65.29607,38.39467,0.66765535,1.6677877,0.11288385,-0.61763924,-0.3878772,0.86267835,1.0311412,1.0109009,1.5735211,-20.154074,0.16461803,0.39983517,1.59523,0.25660086,1.6343645,37.95955,0.74821174,0.20246214,2.2555149,3.528532,2.5827878,-16.946438,2.8195128,2.8591218,3.3859372,3.398611,-0.004925866,0.039479412,-0.00506234,-7.5349126e-05,0.011873985,0.01018287,0.010806144,1.1277574,-231.63232,2.2433412,-4.0407248,1.2341864,1.7139856,0.44208592,1.2214816,-1.5047485,1.1283218,-0.34338588,-0.59475833,-0.44808826,0.8959099,0.830534,0.7097664,0.7550319,0.6432494,0.0652563,0.25819504,0.6604205,-1.3680056
9,2.6623497,2.5248046,0.94025654,0.3993599,2.2870858,2124.0925,53.06526,-52.591347,56.10454,-57.280533,-14.323124,-8.441355,92.51529,78.29653,1.3665249,-1.3133152,-1.0936221,1.5249335,0.3824847,-2.629485,0.050561033,1.7434846,3.4981072,89.06841,-1.6124244,1.3683522,1.2491598,2.3129165,2.7189927,78.14824,-1.1627358,-1.1174724,3.2614336,3.6444454,2.8854456,91.40402,2.7182817,2.718709,4.0848064,1.8003895,-0.004916453,0.0134851225,-0.0025713837,6.4591884e-05,-0.016020242,0.015322207,0.017090423,1.6307168,270.20874,0.53550667,4.713674,1.0797229,1.1390847,1.2942629,1.2692702,0.8794396,1.6315327,1.5486327,-0.7768244,-1.3405203,1.3446159,0.97752094,0.31599534,0.25789878,0.7896361,0.75384474,0.9410162,0.95495605,-0.09975834
10,0.36920422,0.48982564,0.9684603,0.38071457,2.5334446,3396.3533,-40.89233,-55.330837,-57.089813,-57.147705,-8.356551,18.487051,-52.228058,-94.798805,-1.6556126,-0.73334235,-0.43264076,0.10496467,-1.0719932,-0.29985225,-0.62593013,0.6154027,2.741053,49.323616,-1.5091406,0.8076514,-0.33253002,0.31577072,-0.35499257,-94.531075,-1.3081464,-0.40374488,-0.8946969,2.004576,2.4528878,53.114426,2.7182817,2.7790895,2.7182817,1.7525764,0.0048684226,0.012313882,0.005631478,-0.00045396012,-0.016854737,-0.016224995,-0.017390553,-0.0,-38.44675,0.36482328,-0.67068684,-1.4011375,-1.075704,1.4173672,-0.7141928,-0.84038067,-0.8951446,0.88001883,-0.7768244,-0.64943707,-1.4097124,0.23948309,0.4330784,0.23549917,0.15661272,0.25713545,0.99541515,0.0,-0.32268035
