,((oz2_relu+oz1_square)+oz5),(oz2_relu_mmnorm+oz4),(oz4_sin_exp+oz15_radian),(oz20_radian_mmnorm+oz4),(oz1_sin_degree+oz2_degree),(oz4_sin_degree+oz2_tanh_recip),(oz4_sin_adde-oz17_tanh_mmnorm),((oz2_relu+oz1_square)-oz20_square_radian),(oz4_sin_exp-oz17_tanh_mmnorm),(oz5_sin_degree-oz9_square),((oz2_relu+oz2)/oz1_tanh_recip),((oz2_relu+oz1_square)*oz2_tanh_adde),oz4_sin_adde_recip
0,2.4026182,-0.98733014,0.43696997,-0.31619215,-113.46528,-49.143387,1.0197601,2.6174138,-0.42989725,-13.296967,0.90751827,5.154088,0.5308634
1,1.3936559,-0.8054627,0.45946884,-0.77443933,-127.59168000000001,-42.475359999999995,1.8335066999999998,1.2899147,0.32256848,3.1336415,1.0752190000000001,2.4760897,0.5007184
2,-0.64992434,1.5655673,2.6886704,2.0210793000000002,-81.648026,56.050297,2.7651603,0.10355287,1.765137,-39.789383,0.34541750000000004,0.19907756,0.26894242
3,5.3061843,2.4939532000000004,2.7127793,2.6649425,133.48058999999998,57.853092000000004,3.6067638,3.8874545,2.5891273,56.21227,2.4574702,14.098939000000001,0.26969203
4,6.818092999999999,0.5325629,1.6834089,0.89933896,-136.28603999999999,28.012490999999997,2.6005712000000005,5.299613,1.0360832,55.44155500000001,1.6025115,9.501049,0.30997902
5,3.502811,0.0954107,1.1117295,0.40061098,-142.21892,4.354082599999999,1.8500645,1.8669436000000001,0.13646811,57.08384,1.3199178999999999,3.3985565,0.35542312
6,2.670832,0.21915412,0.71250814,-0.1588445,106.68243400000001,-18.231115,1.4193547,2.1659153,-0.24671990000000002,26.321978,1.5540843999999998,7.5783315,0.42073923
7,4.353773,1.2936043,2.5978043,2.065546,-145.1712,54.03079,2.7608924,4.1481676,1.697257,10.780831,1.5874658000000001,7.455120599999999,0.27173105
8,1.7123176,1.4086323,1.9872406000000002,0.81346804,100.09021,40.214176,3.1404161,1.5340418,1.7163326,7.811178699999999,1.3159473999999998,5.552219999999999,0.29423785
9,1.9042414,-0.20777977,0.38830087,-0.40889108,149.53772,-51.511623,0.85937333,3.4846220000000003,-0.54165626,-59.593019999999996,2.8632054,12.748661,0.55543536
10,1.2421662,-1.3081464,0.37672383,-1.0510108,-108.35216499999999,-56.731976,0.7571611999999999,2.7287392999999995,-0.61470056,-57.402668000000006,0.8317315000000001,5.494649400000001,0.5705885
11,-0.27467529999999996,0.8501861,2.1451142000000005,1.0477886,-136.98853,41.964863,2.7448509999999997,0.85366184,1.3951388999999998,-52.298695,1.1623917,1.5697669,0.2882106
12,2.1159425,-1.0008514000000002,0.3845234,-1.2442118,117.47903400000001,-55.39945600000001,1.0401329,2.1254182,-0.31812716,-2.8762653,1.8273165,7.576587700000001,0.57778156
13,0.25673681,1.0784032,2.4407337000000005,1.9705968,-125.62709,49.37022,3.0232968,0.6948345,1.8376153999999998,-27.706083000000003,0.9968386999999999,1.3265541,0.27781746
14,0.38075972,0.74914116,1.9818871999999998,1.4668313999999998,-115.15085,37.756609999999995,3.3909612,1.4337845,1.9675417000000002,-51.279037,0.8984895,2.7807705,0.2941789
15,-0.14937007,1.9849272,2.699116,1.7139563999999998,68.011215,57.838554,3.4353193999999996,1.0210431999999998,2.4122267,-54.328903000000004,0.38918188,3.575024,0.26992762
