,oz4,oz1_tanh,oz2_negative,oz4_radian,oz2_negative_adde,(oz2_adde_degree+oz48),((oz4_radian*oz32)+oz4_relu),(oz34_relu_sigmoid+oz2_sin),oz4_relu_sigmoid_mmnorm,(oz3_tanh_exp-oz1_tanh),(oz2_adde_ln-oz5_radian_tanh),oz1_relu_degree_sigmoid,(oz5_adde*oz2_sin)_tanh
0,1.1361047,-0.9497654000000001,1.5315614,0.019828768,4.249843,68.659966,1.1345406999999998,-0.49923038,0.75353193,1.3532614,0.18927605,0.5,-0.93296796
1,-0.77928,-0.20582183,-0.014376146000000001,-0.013601001000000001,2.7039056,155.65837,-0.022324398,0.75610274,0.0,1.4412167,1.0043368000000001,0.5,0.039828505
2,0.73638,0.17826657,0.28906205,0.012852255,3.0073437999999997,139.15071,0.7580627,0.21494669,0.5167079000000001,1.3139713,0.8854238999999999,0.9999671999999998,-0.6695399000000001
3,-1.0377731,-0.47580013,0.96988195,-0.018112556999999998,3.6881638,100.22063,0.012132828,-0.19756013,0.0,0.9168143,0.58199584,0.5,-0.8147524
4,0.89696336,-0.48378536,0.69428873,0.015654964,3.4125705,114.427025,0.91121054,-0.13983900000000002,0.6167667,1.2852379999999999,0.7096679,0.5,-0.91715056
5,0.19501981,-0.53279406,0.47942254,0.0034037377000000002,3.1977043,127.44377,0.19935931,0.15977475,0.14251983,1.3484846000000001,0.8083846,0.5,-0.8305616
6,1.1376694,-0.77053326,1.4858521,0.019856077,4.204134,70.5715,1.1580818000000002,-0.49639440000000007,0.75437593,1.9714968000000002,0.21813312,0.5,-0.97508025
7,0.60385805,-0.16481276,0.59558856,0.010539311,3.3138704,123.18908,0.59832036,0.26500124,0.4297161,0.8459919,0.75726,0.5,-0.8804824
8,1.0308917,0.93346024,-1.4084021,0.017992453999999998,1.3098796999999998,236.20755,1.0556908,1.4868430000000001,0.6952498,1.7500248,1.3579111000000001,1.0,0.9999889999999999
9,0.37213376,-0.77117264,0.53644055,0.006494959399999999,3.2547224,125.169075,0.3744308,-0.011079788,0.26971018,1.1958787,0.7986599,0.5,-0.689884
